label,timestamp,duration,pkg,dram,socket
Adult,1653231087.188112,9983915.06,141723026.0,25520553.0,0
Adult,1653231097.173851,9737717.851,132242459.0,23186400.0,0
Adult,1653231106.9134312,9655013.949,130387117.0,23123655.0,0
Adult,1653231116.5700703,9794125.674,132117520.0,24061789.0,0
Adult,1653231126.3662097,9847082.163,133697046.0,24281498.0,0
Adult,1653231136.2152617,9733699.128,132463894.0,23732779.0,0
Adult,1653231145.9507072,9753014.83,131909757.0,23880944.0,0
Adult,1653231155.7051294,9771954.115,132660183.0,24207415.0,0
Adult,1653231165.4788654,9681820.242,130993012.0,23671609.0,0
Adult,1653231175.162605,9712637.739,130245455.0,24011300.0,0
Student,1653231184.8773484,3377295.691,50718254.0,7315465.0,0
Student,1653231188.2557166,3335110.923,51206901.0,7429083.0,0
Student,1653231191.5919855,3505263.615,56585610.0,9060017.0,0
Student,1653231195.0983582,3417586.769,51479787.0,7480798.0,0
Student,1653231198.517109,3276677.054,50633964.0,7232356.0,0
Student,1653231201.7948973,3351521.536,51780385.0,8246654.0,0
Student,1653231205.147486,3352950.941,52369373.0,8057623.0,0
Student,1653231208.5015748,3333919.049,51629690.0,8250188.0,0
Student,1653231211.836623,3357337.453,52345386.0,8314556.0,0
Student,1653231215.1950507,3372251.984,52082081.0,8028063.0,0
Adult,1653560288.9727452,9788436.575,140580268.0,25054117.0,0
Adult,1653560298.7629287,9689265.065,130524996.0,23146697.0,0
Adult,1653560308.4542258,9721985.995,130892914.0,23061659.0,0
Adult,1653560318.1780732,9680693.202,130898102.0,23694376.0,0
Adult,1653560327.8607314,9825053.335,132498562.0,23546057.0,0
Adult,1653560337.68762,9719273.679,129862583.0,23096100.0,0
Adult,1653560347.4090526,9669843.511,129701756.0,23035542.0,0
Adult,1653560357.080907,9812413.946,130441194.0,23316787.0,0
Adult,1653560366.8951147,9766111.038,129892367.0,23288558.0,0
Adult,1653560376.6630058,9751856.723,129630832.0,23276319.0,0
Student,1653560386.4169712,3355553.128,50277703.0,7272457.0,0
Student,1653560389.773632,3239666.358,49794428.0,7177597.0,0
Student,1653560393.0144007,3494571.935,56151956.0,9097181.0,0
Student,1653560396.5100923,3325471.828,50427361.0,7285248.0,0
Student,1653560399.8366652,3282122.385,50697685.0,7320009.0,0
Student,1653560403.11991,3326084.205,50330682.0,7221631.0,0
Student,1653560406.447078,3281112.342,51610647.0,8085882.0,0
Student,1653560409.72935,3372002.679,50305779.0,7476589.0,0
Student,1653560413.1024773,3272301.934,51098014.0,7788175.0,0
Student,1653560416.375933,3206705.13,51396719.0,7752586.0,0
