label,timestamp,duration,pkg,dram,socket
Student,1653559019.4486108,72375276.469,3935789973.0,278849875.0,0
Student,1653559091.8266902,72177374.294,3944615878.0,278496537.0,0
Student,1653559164.0068724,72344654.834,3949773397.0,279039595.0,0
Student,1653559236.3544977,72598698.225,3952517347.0,279123117.0,0
Student,1653559308.9560487,72509128.662,3949272238.0,279390883.0,0
Student,1653559381.468013,72152364.596,3942610940.0,278487096.0,0
Student,1653559453.6233852,72161525.375,3949792989.0,279217595.0,0
Student,1653559525.787799,72538579.647,3955466863.0,280779037.0,0
Student,1653559598.3293943,72350235.253,3951712967.0,279028349.0,0
Student,1653559670.6825078,72523187.943,3951841141.0,279586708.0,0
