school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;no;yes;yes;no;*;*;*;*;*;*;*;*;*;11
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;yes;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;yes;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;no;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;no;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;A;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;17
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;14
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;12
*;*;*;U;*;T;*;*;*;*;*;*;*;*;*;no;yes;no;*;yes;yes;yes;no;*;*;*;*;*;*;*;*;*;13
