age;type_employer;education;marital;occupation;relationship;race;sex;capital_gain;capital_loss;hr_per_week;country;income
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Self-emp-not-inc;high;Married-civ-spouse;Stores;Married;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Divorced;Services;Other;White;Male;-1500;0;*;North-America;<=50K
*;Private;low;Married-civ-spouse;Services;Married;Black;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Private;high;Married-civ-spouse;Stores;Married;White;Female;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Self-emp-not-inc;medium;Married-civ-spouse;Stores;Married;White;Male;-1500;0;*;North-America;>50K
*;Private;high;Never-married;Other;Other;White;Female;12500-25000;0;*;North-America;>50K
*;Private;high;Married-civ-spouse;Stores;Married;White;Male;4500-7500;0;*;North-America;>50K
*;Private;medium;Married-civ-spouse;Stores;Married;Black;Male;-1500;0;*;North-America;>50K
*;State-gov;high;Married-civ-spouse;Other;Married;Asian-Pac-Islander;Male;-1500;0;*;South-Asia;>50K
*;Private;high;Never-married;Stores;Family;White;Female;-1500;0;*;North-America;<=50K
*;Private;medium;Never-married;Stores;Other;Black;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Self-emp-not-inc;medium;Never-married;Other;Family;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Never-married;Stores;Other;White;Male;-1500;0;*;North-America;<=50K
*;Private;low;Married-civ-spouse;Stores;Married;White;Male;-1500;0;*;North-America;<=50K
*;Self-emp-not-inc;high;Divorced;Stores;Other;White;Female;-1500;0;*;North-America;>50K
*;Private;high;Married-civ-spouse;Other;Married;White;Male;-1500;0;*;North-America;>50K
*;Private;medium;Separated;Services;Other;Black;Female;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Private;medium;Divorced;Services;Other;White;Female;-1500;0;*;North-America;<=50K
*;Local-gov;high;Married-civ-spouse;Services;Married;White;Male;-1500;0;*;North-America;>50K
*;Private;medium;Never-married;Services;Family;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Divorced;Stores;Other;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Married-civ-spouse;Services;Married;White;Male;-1500;0;*;North-America;<=50K
*;Local-gov;medium;Never-married;Government;Other;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Never-married;Stores;Family;Black;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;State-gov;medium;Married-civ-spouse;Services;Married;Black;Male;-1500;0;*;North-America;<=50K
*;Private;low;Never-married;Stores;Other;White;Male;-1500;0;*;Middle-America;<=50K
*;Private;medium;Never-married;Stores;Family;White;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;Self-emp-not-inc;medium;Married-civ-spouse;Other;Married;White;Male;-1500;0;*;North-America;<=50K
*;Private;low;Married-civ-spouse;Stores;Married;White;Male;-1500;0;*;North-America;<=50K
*;Self-emp-not-inc;high;Married-civ-spouse;Other;Married;White;Male;-1500;0;*;North-America;<=50K
*;Private;high;Married-civ-spouse;Services;Married;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Separated;Stores;Other;White;Female;-1500;0;*;North-America;<=50K
*;Private;medium;Never-married;Services;Other;White;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;>50K
*;Private;medium;Married-civ-spouse;Stores;Married;White;Male;-1500;0;*;North-America;<=50K
*;Private;high;Divorced;Stores;Other;White;Female;-1500;0;*;North-America;<=50K
*;State-gov;medium;Married-civ-spouse;Services;Married;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Never-married;Other;Other;White;Male;-1500;0;*;North-America;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;<=50K
*;*;*;*;*;*;*;*;*;*;*;*;>50K
*;Federal-gov;high;Divorced;Stores;Other;White;Male;-1500;0;*;North-America;>50K
*;Self-emp-inc;medium;Divorced;Stores;Other;White;Male;-1500;0;*;North-America;<=50K
*;Private;medium;Married-civ-spouse;Services;Married;White;Male;-1500;0;*;North-America;>50K
*;Private;low;Married-civ-spouse;Stores;Married;White;Male;-1500;0;*;Middle-America;<=50K
*;Private;medium;Married-civ-spouse;Services;Married;White;Male;-1500;0;*;Middle-America;<=50K
