0,-1500,*
155,-1500,*
213,-1500,*
323,-1500,*
419,-1500,*
625,-1500,*
653,-1500,*
810,-1500,*
880,-1500,*
974,-1500,*
1092,-1500,*
1138,-1500,*
1258,-1500,*
1340,-1500,*
1380,-1500,*
1408,-1500,*
1411,-1500,*
1485,-1500,*
1504,1500-2000,*
1539,1500-2000,*
1564,1500-2000,*
1573,1500-2000,*
1579,1500-2000,*
1590,1500-2000,*
1594,1500-2000,*
1602,1500-2000,*
1617,1500-2000,*
1628,1500-2000,*
1648,1500-2000,*
1651,1500-2000,*
1668,1500-2000,*
1669,1500-2000,*
1672,1500-2000,*
1719,1500-2000,*
1721,1500-2000,*
1726,1500-2000,*
1735,1500-2000,*
1740,1500-2000,*
1741,1500-2000,*
1755,1500-2000,*
1762,1500-2000,*
1816,1500-2000,*
1825,1500-2000,*
1844,1500-2000,*
1848,1500-2000,*
1876,1500-2000,*
1887,1500-2000,*
1902,1500-2000,*
1944,1500-2000,*
1974,1500-2000,*
1977,1500-2000,*
1980,1500-2000,*
2001,2000-2250,*
2002,2000-2250,*
2042,2000-2250,*
2051,2000-2250,*
2057,2000-2250,*
2080,2000-2250,*
2129,2000-2250,*
2149,2000-2250,*
2174,2000-2250,*
2179,2000-2250,*
2201,2000-2250,*
2205,2000-2250,*
2206,2000-2250,*
2231,2000-2250,*
2238,2000-2250,*
2246,2000-2250,*
2258,2250-2500,*
2267,2250-2500,*
2282,2250-2500,*
2339,2250-2500,*
2352,2250-2500,*
2377,2250-2500,*
2392,2250-2500,*
2415,2250-2500,*
2444,2250-2500,*
2457,2250-2500,*
2467,2250-2500,*
2472,2250-2500,*
2547,2500-3000,*
2559,2500-3000,*
2603,2500-3000,*
2754,2500-3000,*
2824,2500-3000,*
3004,3000-3500,*
3683,3500+,*
3770,3500+,*
3900,3500+,*
4356,3500+,*
